Id,QuaternaryFaultDensity,HorizGravityGradient2,GeodeticStrainRate,QuaternarySlipRate,FaultRecency,FaultSlipDilationTendency,Earthquakes,HorizMagneticGradient2,Heatflow,DEM-30m,X_83UTM11,Y_83UTM11,TrainCodeNeg,TrainCodePos,TrainCodePosT130,TrainCodePosT37,NAME,MAX_MAXT,Blind,POWER,E_utm83,N_utm83,Depth(m)
90,-0.996216861,0.345583494,-0.455207558,-1.238783263,-0.898590848,-0.488798349,0.209097299,-0.940227664,-0.091242808,0.231634059,557327.6902,4366963.766,1,12,12,12,Twin Springs Federal No. 10-6,-17.29371993,,,557370.9823,4366980.361,2446.629522
113,-0.031460702,1.930418628,-1.014734523,-1.162639976,-1.180387362,1.219592203,0.187494727,-0.641395173,-1.213563541,0.002083554,617577.6902,4373213.766,1,12,12,12,Marathon-Anadarko Keno Unit No. 23-33,-29.69280343,,,617521.6748,4373100.16,2225.039929
131,-1.098574689,0.294789143,-1.074323397,-0.258185685,-0.037488108,0.490246956,-0.643046505,-0.497131212,-0.427854186,0.345119701,660827.6902,4380963.766,1,12,12,12,Bonanza Federal No. 1-32,-54.75594638,,,660921.8827,4380950.252,2088.489533
140,0.263156757,1.595150223,-1.169061503,0.519168459,-0.161232102,0.641019237,-1.200669798,0.316929713,-0.469325903,0.04593028,682077.6902,4381713.766,1,12,12,12,Duck Creek No. 1,-59.81428782,,,682188.905,4381838.304,2825.80071
89,-1.167275183,-0.135261136,-0.651162161,-0.816779448,0.251571826,-0.983576453,-0.325640324,-0.414694663,0.386667368,0.120727635,552827.6902,4384713.766,1,12,12,12,Silver State Federal No. 33-18,-15.26910509,,,552732.0393,4384707.465,2773.984711
114,-0.825690716,-1.174650986,-1.073156234,-0.468040946,-0.532708134,0.903777873,-0.135656066,-0.569263192,-1.644966835,1.157573734,619327.6902,4389713.766,1,12,12,12,Buck Mountain Unit No. 36-1,-42.28090516,,,619211.7208,4389600.391,2381.707124
118,-0.523790285,-0.724308652,-0.960346153,-0.962904621,-0.939435484,0.894589535,-0.370133788,-0.981445939,-1.711106033,0.791324615,624577.6902,4390963.766,1,12,12,12,Yankee Mine Unit Federal No. 27-23X,-59.04263661,,,624691.8091,4390900.423,2033.015935
88,-0.711370798,-0.350832107,-0.811780569,-0.779292484,1.284551554,-0.377368863,-0.787486241,-0.569263192,0.510797465,0.203262648,551077.6902,4391713.766,1,12,12,12,Willow Wash Federal No. 42-24,-42.4918469,,,551148.0695,4391591.5,2386.888724
105,-0.891596889,0.669614211,-1.134888841,2.355692362,0.94077385,0.840990894,0.32715422,-0.424999231,-0.455750853,-0.062396925,591827.6902,4397213.766,1,12,12,12,Black Point No. 6-41,-28.21679197,,,591771.3626,4397300.468,2619.755916
122,-0.460834574,1.130873156,-0.953399442,-0.523135539,-0.335288117,1.114511024,-0.370133788,-1.012359645,-1.83489814,0.156836703,632577.6902,4400463.766,1,12,12,12,Long Jevity Federal No. 1,-31.36148261,,,632692.8838,4400394.582,2389.327124
